tipo_combo,internet,precio_lista_internet,precio_combo_internet,telefonia,precio_lista_telefonia,precio_combo_telefonia,flow,precio_lista_flow,precio_combo_flow,total_precio_lista,total_precio_combo,masiva,portin,zona_claro
Combo Hogar,200,299000,224250,17,450000,225000,true,200000,150000,949000,599250,false,true,false
Combo Hogar,200,299000,224250,20,550000,275000,true,200000,150000,1049000,649250,false,true,false
Combo Hogar,50,130000,65000,2,95000,71250,true,200000,150000,425000,286250,false,false,true
Combo Hogar,50,130000,65000,3,120000,90000,true,200000,150000,450000,305000,false,false,true
Combo Hogar,50,130000,65000,5,150000,112500,true,200000,150000,480000,327500,false,false,true
Combo Hogar,50,130000,65000,7,185000,138750,true,200000,150000,515000,353750,false,false,true
Combo Hogar,50,130000,65000,10,255000,191250,true,200000,150000,585000,406250,false,false,true
Combo Hogar,50,130000,65000,15,350000,262500,true,200000,150000,680000,477500,false,false,true
Combo Hogar,50,130000,65000,17,450000,337500,true,200000,150000,780000,552500,false,false,true
Combo Hogar,50,130000,65000,20,550000,412500,true,200000,150000,880000,627500,false,false,true
Combo Hogar,100,199000,99500,2,95000,71250,true,200000,150000,494000,320750,false,false,true
Combo Hogar,100,199000,99500,3,120000,90000,true,200000,150000,519000,339500,false,false,true
Combo Hogar,100,199000,99500,5,150000,112500,true,200000,150000,549000,362000,false,false,true
Combo Hogar,100,199000,99500,7,185000,138750,true,200000,150000,584000,388250,false,false,true
Combo Hogar,100,199000,99500,10,255000,191250,true,200000,150000,654000,440750,false,false,true
Combo Hogar,100,199000,99500,15,350000,262500,true,200000,150000,749000,512000,false,false,true
Combo Hogar,100,199000,99500,17,450000,337500,true,200000,150000,849000,587000,false,false,true
Combo Hogar,100,199000,99500,20,550000,412500,true,200000,150000,949000,662000,false,false,true
Combo Hogar,150,249000,124500,2,95000,71250,true,200000,150000,544000,345750,false,false,true
Combo Hogar,150,249000,124500,3,120000,90000,true,200000,150000,569000,364500,false,false,true
Combo Hogar,150,249000,124500,5,150000,112500,true,200000,150000,599000,387000,false,false,true
Combo Hogar,150,249000,124500,7,185000,138750,true,200000,150000,634000,413250,false,false,true
Combo Hogar,150,249000,124500,10,255000,191250,true,200000,150000,704000,465750,false,false,true
Combo Hogar,150,249000,124500,15,350000,262500,true,200000,150000,799000,537000,false,false,true
Combo Hogar,150,249000,124500,17,450000,337500,true,200000,150000,899000,612000,false,false,true
Combo Hogar,150,249000,124500,20,550000,412500,true,200000,150000,999000,687000,false,false,true
Combo Hogar,200,299000,149500,2,95000,71250,true,200000,150000,594000,370750,false,false,true
Combo Hogar,200,299000,149500,3,120000,90000,true,200000,150000,619000,389500,false,false,true
Combo Hogar,200,299000,149500,5,150000,112500,true,200000,150000,649000,412000,false,false,true
Combo Hogar,200,299000,149500,7,185000,138750,true,200000,150000,684000,438250,false,false,true
Combo Hogar,200,299000,149500,10,255000,191250,true,200000,150000,754000,490750,false,false,true
Combo Hogar,200,299000,149500,15,350000,262500,true,200000,150000,849000,562000,false,false,true
Combo Hogar,200,299000,149500,17,450000,337500,true,200000,150000,949000,637000,false,false,true
Combo Hogar,200,299000,149500,20,550000,412500,true,200000,150000,1049000,712000,false,false,true
Combo Hogar,50,130000,65000,2,95000,47500,true,200000,150000,425000,262500,false,true,true
Combo Hogar,50,130000,65000,3,120000,60000,true,200000,150000,450000,275000,false,true,true
Combo Hogar,50,130000,65000,5,150000,75000,true,200000,150000,480000,290000,false,true,true
Combo Hogar,50,130000,65000,7,185000,92500,true,200000,150000,515000,307500,false,true,true
Combo Hogar,50,130000,65000,10,255000,127500,true,200000,150000,585000,342500,false,true,true
Combo Hogar,50,130000,65000,15,350000,175000,true,200000,150000,680000,390000,false,true,true
Combo Hogar,50,130000,65000,17,450000,225000,true,200000,150000,780000,440000,false,true,true
Combo Hogar,50,130000,65000,20,550000,275000,true,200000,150000,880000,490000,false,true,true
Combo Hogar,100,199000,99500,2,95000,47500,true,200000,150000,494000,297000,false,true,true
Combo Hogar,100,199000,99500,3,120000,60000,true,200000,150000,519000,309500,false,true,true
Combo Hogar,100,199000,99500,5,150000,75000,true,200000,150000,549000,324500,false,true,true
Combo Hogar,100,199000,99500,7,185000,92500,true,200000,150000,584000,342000,false,true,true
Combo Hogar,100,199000,99500,10,255000,127500,true,200000,150000,654000,377000,false,true,true
Combo Hogar,100,199000,99500,15,350000,175000,true,200000,150000,749000,424500,false,true,true
Combo Hogar,100,199000,99500,17,450000,225000,true,200000,150000,849000,474500,false,true,true
Combo Hogar,100,199000,99500,20,550000,275000,true,200000,150000,949000,524500,false,true,true
Combo Hogar,150,249000,124500,2,95000,47500,true,200000,150000,544000,322000,false,true,true
Combo Hogar,150,249000,124500,3,120000,60000,true,200000,150000,569000,334500,false,true,true
Combo Hogar,150,249000,124500,5,150000,75000,true,200000,150000,599000,349500,false,true,true
Combo Hogar,150,249000,124500,7,185000,92500,true,200000,150000,634000,367000,false,true,true
Combo Hogar,150,249000,124500,10,255000,127500,true,200000,150000,704000,402000,false,true,true
Combo Hogar,150,249000,124500,15,350000,175000,true,200000,150000,799000,449500,false,true,true
Combo Hogar,150,249000,124500,17,450000,225000,true,200000,150000,899000,499500,false,true,true
Combo Hogar,150,249000,124500,20,550000,275000,true,200000,150000,999000,549500,false,true,true
Combo Hogar,200,299000,149500,2,95000,47500,true,200000,150000,594000,347000,false,true,true
Combo Hogar,200,299000,149500,3,120000,60000,true,200000,150000,619000,359500,false,true,true
Combo Hogar,200,299000,149500,5,150000,75000,true,200000,150000,649000,374500,false,true,true
Combo Hogar,200,299000,149500,7,185000,92500,true,200000,150000,684000,392000,false,true,true
Combo Hogar,200,299000,149500,10,255000,127500,true,200000,150000,754000,427000,false,true,true
Combo Hogar,200,299000,149500,15,350000,175000,true,200000,150000,849000,474500,false,true,true
Combo Hogar,200,299000,149500,17,450000,225000,true,200000,150000,949000,524500,false,true,true
Combo Hogar,200,299000,149500,20,550000,275000,true,200000,150000,1049000,574500,false,true,true
